Location,Bedrooms,Bathrooms,Amenities,Price
"Gigiri, O, Westlands",4,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 650,000
 / mont"
Lavington,6,6,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 600,000
 / mont"
"Kileleshwa Estate., 0614J, Kileleshwa",4,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 260,000
 / mont"
"Gigiri, Westlands",4,3,"['Backup Generator', 'Balcony', 'Borehole', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters']"," 490,000
 / mont"
"Kirawa Rd, Kitisuru, Westlands",2,1,"['Garden', 'Parking']"," 90,000
 / mont"
"Kitisuru, Westlands",4,5,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 630,000
 / mont"
"Kitisuru, Westlands",4,5,"['BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 350,000
 / mont"
"Mbaazi Avenue, Lavington",1,1,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 130,000
 / mont"
Kiambu Road,1,1,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Wheelchair Access']"," 100,000
 / mont"
Kilimani,2,2,"['Alarm', 'Backup Generator', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 160,000
 / mont"
"Hillcrest road, O, Karen",7,7,"['Aircon', 'Alarm', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 850,000
 / mont"
"Runda, Westlands",5,5,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 400,000
 / mont"
Kilimani,4,3,"['Alarm', 'Balcony', 'CCTV', 'En Suite', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 290,000
 / mont"
"Westlands Area, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
"Vanga Road, Lavington",3,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Walk In Closet']"," 390,000
 / mont"
"Gatundu Road, Kileleshwa",3,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Walk In Closet']"," 200,000
 / mont"
Kileleshwa,5,3,"['Electric Fence', 'En Suite', 'Garden', 'Service Charge Included', 'Staff Quarters']"," 200,000
 / mont"
"Spring Valley, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 160,000
 / mont"
"Spring Valley, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 280,000
 / mont"
"Spring Valley, Westlands",1,1,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
"Westlands Area, Westlands",4,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Gathanju, Maziwa, Lavington",,,"['Alarm', 'Balcony', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Pet Friendly']"," 350,000
 / mont"
"Kitisuru, Westlands",5,6,"['BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 500,000
 / mont"
"Kiambere rd, Upper Hill",3,2,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Walk In Closet']"," 140,000
 / mont"
"Kitisuru, Westlands",4,3,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
Lavington,5,6,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Westlands, O, Runda",5,5,"['Backup Generator', 'Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 370,000
 / mont"
Karen,4,4,"['Alarm', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 200,000
 / mont"
"Karen, O",4,4,"['Alarm', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
Karen,7,7,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 650,000
 / mont"
"Ushirika road, O, Karen",6,6,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
Karen,5,5,"['Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
Lavington,5,6,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 514,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 400,000
 / mont"
"Westlands Area, Westlands",,,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Lift/Elevator', 'Parking']"," 100
 / mont"
Karen,3,3,"['En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking']"," 200,000
 / mont"
Kilimani,3,3,"['En Suite', 'Lift/Elevator', 'Parking']"," 75,000
 / mont"
Muthaiga,2,2,"['Backup Generator', 'Balcony', 'En Suite', 'Garden', 'Parking']"," 530,000
 / mont"
"Westlands Area, Westlands",,,"['Furnished', 'Lift/Elevator', 'Parking']"," 39,000
 / mont"
Kilimani,1,1,"['Balcony', 'CCTV', 'En Suite', 'Furnished', 'Parking']"," 120,000
 / mont"
"Loresho, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'En Suite', 'Fibre Internet', 'Garden', 'Parking']"," 350,000
 / mont"
"Loresho, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters']"," 400,000
 / mont"
"Kasuku road, Kilimani",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
Muthaiga,4,4,"['Backup Generator', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters']"," 550,000
 / mont"
"Maziwa, Lavington green, Lavington",6,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Riverside, Westlands Area, Westlands",3,3,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 150,000
 / mont"
Lavington,,,"['Balcony', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Pet Friendly', 'Service Charge Included']"," 650,000
 / mont"
"off Rhapta rd, Westlands Area, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
"riverside, Riverside, Westlands",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool']"," 180,000
 / mont"
"Riverside, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
Kileleshwa,4,4,"['Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Wheelchair Access']"," 260,000
 / mont"
"Spring Valley, Westlands",4,5,"['Balcony', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 325,000
 / mont"
Kileleshwa,1,1,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Swimming Pool']"," 75,000
 / mont"
Kiambu Road,4,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 300,000
 / mont"
"Grevillea Groove, Spring Valley, Westlands",5,3,"['Alarm', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 325,000
 / mont"
"westlands, Rhapta Road, Westlands",2,2,"['Alarm', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 175,000
 / mont"
"Runda, Westlands",4,5,"['En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Parking', 'Staff Quarters']"," 350,000
 / mont"
Lavington,5,5,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 550,000
 / mont"
"Kitisuru, Westlands",2,2,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 231,948
 / mont"
"Westlands, Westlands Area",3,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 390,000
 / mont"
"Westlands, Westlands Area",1,1,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 295,000
 / mont"
"Kikambala Road, Kileleshwa",2,2,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Walk In Closet']"," 390,000
 / mont"
Lavington,5,5,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 540,000
 / mont"
"Lower kabete, Lower Kabete, Westlands",5,5,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters']"," 300,000
 / mont"
"Runda, Westlands",4,4,"['Balcony', 'En Suite', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
Lavington,6,5,"['Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 250,000
 / mont"
"Kitisuru, Westlands",5,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 380,000
 / mont"
"Loresho, Westlands",4,4,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
Kilimani,3,3,"['Alarm', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 120,000
 / mont"
"Kitisuru, Westlands",6,6,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 500,000
 / mont"
"Kitisuru, Westlands",4,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 710,000
 / mont"
"Riverside, Westlands",4,4,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"east church road, Westlands Area, Westlands",1,1,"['Fibre Internet', 'Furnished', 'Gated Community', 'Parking', 'Service Charge Included', 'Serviced']"," 105,000
 / mont"
Lavington,5,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
"Kitisuru, Westlands",5,5,"['Aircon', 'Alarm', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking']"," 450,000
 / mont"
"Daisy Road Runda, Runda, Westlands",2,2,"['Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Furnished', 'Parking']"," 129,000
 / mont"
"Kitisuru rd, Kitisuru, Westlands",6,6,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 500,000
 / mont"
"lower kabete, Lower Kabete, Westlands",5,2,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 700,000
 / mont"
Kileleshwa,3,3,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Swimming Pool']"," 165,000
 / mont"
Lavington,3,1,"['Balcony', 'Furnished', 'Gym', 'Swimming Pool']"," 220,000
 / mont"
Kileleshwa,3,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 170,000
 / mont"
"Lantana Road, Westlands Area, Westlands",1,1,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gated Community', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 130,000
 / mont"
"Gigiri, Westlands",1,2,"['Aircon', 'Alarm', 'BBQ', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Parking']"," 325,000
 / mont"
"Othaya Road, Kileleshwa",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 97,000
 / mont"
"Nyari, Westlands",3,2,"['Alarm', 'BBQ', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking']"," 190,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 850,000
 / mont"
"MKUNGU LANE, Westlands Area, Westlands",1,1,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']"," 275,000
 / mont"
Kileleshwa,3,4,"['Backup Generator', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 160,000
 / mont"
Kileleshwa,2,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
"Gitanga, Lavington",4,5,"['Backup Generator', 'Balcony', 'Borehole', 'En Suite', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 230,000
 / mont"
"Rosslyn, Westlands",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 420,000
 / mont"
"Rosslyn, Westlands",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 250,000
 / mont"
"Rosslyn, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters']"," 350,000
 / mont"
"Rosslyn, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters']"," 450,000
 / mont"
"Rosslyn, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters']"," 400,000
 / mont"
"Rosslyn, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Parking', 'Staff Quarters']"," 450,000
 / mont"
Lavington,2,2,"['Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 75,000
 / mont"
"Lantana Road, Westlands Area, Westlands",1,1,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gated Community', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 130,000
 / mont"
"Off Ruaka Rd, 2, Runda, Westlands",4,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Rosslyn, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 170,000
 / mont"
"Rosslyn, Westlands",6,6,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 750,000
 / mont"
"Rosslyn, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 400,000
 / mont"
